pid,tid,event_type,start_time,end_time,mark_id,message,domain,rid,name,type,=recvTokenSize,=QueueSize,queue,from,to,action,LogicalBlockNum,=deviceKvCache,+WAITING,+RUNNING,+PENDING,+END,=replyTokenSize,rid_list,token_id_list,batch_size,batch_type,during_time,metrics
253317,254643,start/end,1727940491167470.0,1727940491167470.5,565,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491167517.2,1727940491167597.2,567,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 17}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[17],1.0,Decode,80.0,
253317,254645,start/end,1727940491167560.5,1727940491167561.2,568,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491167632.5,1727940491167649.0,572,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 17}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[17],1.0,Decode,16.5,
253317,254643,start/end,1727940491187304.8,1727940491187305.2,577,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491187329.0,1727940491187413.5,579,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 18}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[18],1.0,Decode,84.5,
253317,254645,start/end,1727940491187372.2,1727940491187373.0,580,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491187477.5,1727940491187496.5,584,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 18}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[18],1.0,Decode,19.0,
253317,254643,start/end,1727940491207144.0,1727940491207144.5,589,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491207166.2,1727940491207255.5,591,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 19}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[19],1.0,Decode,89.25,
