,time,metrics,=recvTokenSize,=QueueSize,=deviceKvCache,+WAITING,+RUNNING,+PENDING,+END,=replyTokenSize
306,1727940492342921.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
308,1727940492343045.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
310,1727940492370916.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
312,1727940492371020.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
314,1727940492391360.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
316,1727940492391437.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
318,1727940492411430.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
320,1727940492411550.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
322,1727940492431389.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
324,1727940492431471.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
326,1727940492451381.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
328,1727940492451475.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
330,1727940492471418.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
332,1727940492471497.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
334,1727940492491495.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
336,1727940492491585.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
338,1727940492511488.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
340,1727940492511615.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
342,1727940492531446.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
344,1727940492531527.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
346,1727940492551459.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
348,1727940492551539.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
350,1727940492572229.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
352,1727940492572350.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
354,1727940492592325.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
356,1727940492592407.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
358,1727940492612491.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
360,1727940492612572.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
362,1727940492632630.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
364,1727940492632729.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
366,1727940492652798.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
368,1727940492652915.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
370,1727940492673073.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
372,1727940492673203.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
374,1727940492693115.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
376,1727940492693189.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
378,1727940492713203.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
380,1727940492713283.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
382,1727940492733297.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
384,1727940492733370.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
386,1727940492753367.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
388,1727940492753454.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
390,1727940492773457.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
392,1727940492773525.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
394,1727940492793515.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
396,1727940492793589.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
398,1727940492813580.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
400,1727940492813659.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
